CustomerID,FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
0,Jon,Yang,3761 N. 14th St,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,1966-04-08,Bachelors ,Professional,M,M,1,0,0,2,137947,89,0
1,Eugene,Huang,2243 W St.,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,1965-05-14,Bachelors ,Professional,M,S,0,1,3,3,101141,117,1
2,Ruben,Torres,5844 Linden Land,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,1965-08-12,Bachelors ,Professional,M,M,1,1,3,3,91945,123,0
3,Christy,Zhu,1825 Village Pl.,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,1968-02-15,Bachelors ,Professional,F,S,0,1,0,0,86688,50,0
6,Janet,Alvarez,2612 Berry Dr,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,1965-12-06,Bachelors ,Professional,F,S,1,1,0,0,84756,54,1
7,Marco,Mehta,942 Brook Street,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1964-05-09,Bachelors ,Professional,M,M,1,2,3,3,109759,130,1
8,Rob,Verhoff,624 Peabody Road,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,1964-07-07,Bachelors ,Professional,F,S,1,3,4,4,88005,85,1
10,Jacquelyn,Suarez,7800 Corrinne Court,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,1964-02-06,Bachelors ,Professional,F,S,0,1,0,0,81294,49,0
12,Lauren,Walker,4785 Scott Street,Bremerton,Washington,United States,98312,717-555-0164,1968-01-18,Bachelors ,Management,F,M,1,2,0,2,99245,55,1
13,Ian,Jenkins,7902 Hudson Ave.,Lebanon,Oregon,United States,97355,817-555-0185,1968-08-06,Bachelors ,Management,M,M,1,3,0,2,115859,84,0
15,Chloe,Young,244 Willow Pass Road,Burbank,California,United States,91502,208-555-0142,1979-02-27,Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0
16,Wyatt,Hill,9666 Northridge Ct.,Imperial Beach,California,United States,91932,135-555-0171,1979-04-28,Partial College,Skilled Manual,M,M,1,1,0,0,46808,68,0
17,Luke,Lal,7832 Landing Dr,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,1978-03-07,High School,Skilled Manual,M,S,0,2,0,0,49455,64,1
21,Alejandro,Beck,2596 Franklin Canyon Road,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,1945-12-23,Partial High School,Clerical,M,M,1,2,1,2,24334,70,0
23,Jessie,Zhao,213 Valencia Place,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,1946-12-07,Partial College,Clerical,M,M,1,2,0,2,49349,76,0
25,Theresa,Ramos,6465 Detroit Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,1947-08-22,High School,Skilled Manual,F,M,1,2,0,4,18843,43,0
26,Denise,Stone,626 Bentley Street,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,1947-06-11,High School,Skilled Manual,F,M,1,2,0,4,15861,42,0
27,Jaime,Nath,5927 Rainbow Dr,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,1947-09-23,High School,Skilled Manual,M,M,1,2,0,4,35822,58,0
28,Ebony,Gonzalez,5167 Condor Place,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,1947-06-19,High School,Skilled Manual,F,M,1,2,0,4,29017,39,0
31,Chloe,Garcia,8915 Woodside Way,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,1977-11-27,Partial High School,Clerical,F,S,0,2,0,0,48651,46,0
32,Wesley,Yang,74 Jamie Way,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0188,1975-02-14,Bachelors ,Professional,M,S,0,2,0,0,129497,73,1
33,Jesse,Murphy,3350 Kingswood Circle,Tacoma,Washington,United States,98403,961-555-0176,1977-08-01,Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0
34,Amanda,Carter,5826 Escobar,Glendale,California,United States,91203,295-555-0145,1977-10-16,Partial College,Skilled Manual,F,M,1,2,0,0,78170,51,0
35,Megan,Sanchez,1397 Paraiso Ct.,Los Angeles,California,United States,90012,404-555-0199,1977-06-13,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0
